"date","state","fips","cases","deaths","r.cases","r.next_day.cases","next_day.cases","incremental.cases","rr.incremental.cases","r.incremental.cases","incremental.cases_contracted"
2020-01-27,"Arizona",4,1,0,NA,NA,1,0,NA,NA,0
2020-01-27,"California",6,2,0,NA,2,2,0,NA,NA,0
2020-01-27,"Illinois",17,1,0,1.14285714285714,1.28571428571429,1,0,0.142857142857143,0.142857142857143,0
2020-01-27,"Washington",53,1,0,1,1,1,0,0,0,0
2020-01-28,"Arizona",4,1,0,NA,1,1,0,NA,NA,0
2020-01-28,"California",6,2,0,2,2.28571428571429,2,0,0.285714285714286,0.285714285714286,0
2020-01-28,"Illinois",17,1,0,1.28571428571429,1.42857142857143,1,0,0.142857142857143,0.142857142857143,0
2020-01-28,"Washington",53,1,0,1,1,1,0,0,0,0
2020-01-29,"Arizona",4,1,0,1,1,1,0,0,0,0
2020-01-29,"California",6,2,0,2.28571428571429,2.85714285714286,2,0,0.571428571428572,0.571428571428571,0
2020-01-29,"Illinois",17,1,0,1.42857142857143,1.57142857142857,2,1,0.142857142857143,0.142857142857143,0
2020-01-29,"Washington",53,1,0,1,1,1,0,0,0,0
2020-01-30,"Arizona",4,1,0,1,1,1,0,0,0,0
2020-01-30,"California",6,2,0,2.85714285714286,3.42857142857143,3,1,0.571428571428571,0.571428571428571,0
2020-01-30,"Illinois",17,2,0,1.57142857142857,1.71428571428571,2,0,0.142857142857143,0.142857142857143,0
2020-01-30,"Washington",53,1,0,1,1,1,0,0,0,0
2020-01-31,"Arizona",4,1,0,1,1,1,0,0,0,0
2020-01-31,"California",6,3,0,3.42857142857143,4,3,0,0.571428571428572,0.571428571428571,0
2020-01-31,"Illinois",17,2,0,1.71428571428571,1.85714285714286,2,0,0.142857142857143,0.142857142857143,0
2020-01-31,"Washington",53,1,0,1,1,1,0,0,0,0
2020-02-01,"Arizona",4,1,0,1,1,1,0,0,0,0
2020-02-01,"California",6,3,0,4,4.57142857142857,6,3,0.571428571428571,0.571428571428571,0
2020-02-01,"Illinois",17,2,0,1.85714285714286,2,2,0,0.142857142857143,0.142857142857143,0
2020-02-01,"Massachusetts",25,1,0,NA,NA,1,0,NA,NA,0
2020-02-01,"Washington",53,1,0,1,1,1,0,0,0,0
2020-02-02,"Arizona",4,1,0,1,1,1,0,0,0,0
2020-02-02,"California",6,6,0,4.57142857142857,5.14285714285714,6,0,0.571428571428572,0.571428571428571,0
2020-02-02,"Illinois",17,2,0,2,2,2,0,0,0,0
2020-02-02,"Massachusetts",25,1,0,NA,NA,1,0,NA,NA,0
2020-02-02,"Washington",53,1,0,1,1,1,0,0,0,0
2020-02-03,"Arizona",4,1,0,1,1,1,0,0,0,0
2020-02-03,"California",6,6,0,5.14285714285714,5.57142857142857,6,0,0.428571428571428,0.428571428571429,0
2020-02-03,"Illinois",17,2,0,2,2,2,0,0,0,0
2020-02-03,"Massachusetts",25,1,0,NA,1,1,0,NA,NA,0
2020-02-03,"Washington",53,1,0,1,1,1,0,0,0,0
2020-02-04,"Arizona",4,1,0,1,1,1,0,0,0,0
2020-02-04,"California",6,6,0,5.57142857142857,6,6,0,0.428571428571429,0.428571428571429,0
2020-02-04,"Illinois",17,2,0,2,2,2,0,0,0,0
2020-02-04,"Massachusetts",25,1,0,1,1,1,0,0,0,0
2020-02-04,"Washington",53,1,0,1,1,1,0,0,0,0
2020-02-05,"Arizona",4,1,0,1,1,1,0,0,0,0
