"state","date","population.density","stay.home.ind","mask.ind","holiday.ind","incremental.cases_contracted"
"Hawaii","2020-03-06","129.94",0,0,0,"11"
"Hawaii","2020-03-07","129.94",0,0,0,"11"
"Hawaii","2020-03-08","129.94",0,0,0,"8"
"Hawaii","2020-03-09","129.94",0,0,0,"21"
"Hawaii","2020-03-10","129.94",0,0,0,"13"
"Hawaii","2020-03-11","129.94",0,0,0,"5"
"Hawaii","2020-03-12","129.94",0,0,0,"11"
"Hawaii","2020-03-13","129.94",0,0,0,"14"
"Hawaii","2020-03-14","129.94",0,0,0,"31"
"Hawaii","2020-03-15","129.94",0,0,0,"24"
"Hawaii","2020-03-16","129.94",0,0,0,"29"
"Hawaii","2020-03-17","129.94",0,0,0,"20"
"Hawaii","2020-03-18","129.94",0,0,0,"34"
"Hawaii","2020-03-19","129.94",0,0,0,"25"
"Hawaii","2020-03-20","129.94",0,0,0,"34"
"Hawaii","2020-03-21","129.94",0,0,0,"32"
"Hawaii","2020-03-22","129.94",0,0,0,"20"
"Hawaii","2020-03-23","129.94",0,0,0,"16"
"Hawaii","2020-03-24","129.94",0,0,0,"23"
"Hawaii","2020-03-25","129.94",1,0,0,"25"
"Hawaii","2020-03-26","129.94",1,0,0,"7"
"Hawaii","2020-03-27","129.94",1,0,0,"23"
"Hawaii","2020-03-28","129.94",1,0,0,"21"
"Hawaii","2020-03-29","129.94",1,0,0,"13"
"Hawaii","2020-03-30","129.94",1,0,0,"5"
"Hawaii","2020-03-31","129.94",1,0,0,"9"
"Hawaii","2020-04-01","129.94",1,0,0,"13"
"Hawaii","2020-04-02","129.94",1,0,0,"11"
"Hawaii","2020-04-03","129.94",1,0,0,"12"
"Hawaii","2020-04-04","129.94",1,0,0,"21"
"Hawaii","2020-04-05","129.94",1,0,0,"6"
"Hawaii","2020-04-06","129.94",1,0,0,"4"
"Hawaii","2020-04-07","129.94",1,0,0,"2"
"Hawaii","2020-04-08","129.94",1,0,0,"6"
"Hawaii","2020-04-09","129.94",1,0,0,"4"
"Hawaii","2020-04-10","129.94",1,0,0,"5"
"Hawaii","2020-04-11","129.94",1,0,0,"2"
"Hawaii","2020-04-12","129.94",1,0,0,"2"
"Hawaii","2020-04-13","129.94",1,0,0,"1"
"Hawaii","2020-04-14","129.94",1,0,0,"2"
"Hawaii","2020-04-15","129.94",1,0,0,"3"
"Hawaii","2020-04-16","129.94",1,0,0,"4"
"Hawaii","2020-04-17","129.94",1,0,0,"1"
"Hawaii","2020-04-18","129.94",1,0,0,"1"
"Hawaii","2020-04-19","129.94",1,0,0,NA
"Hawaii","2020-04-20","129.94",1,0,0,"1"
"Hawaii","2020-04-21","129.94",1,0,0,"3"
"Hawaii","2020-04-22","129.94",1,0,0,"1"
"Hawaii","2020-04-23","129.94",1,0,0,"3"
"Hawaii","2020-04-24","129.94",1,0,0,NA
"Hawaii","2020-04-25","129.94",1,0,0,"1"
"Hawaii","2020-04-26","129.94",1,0,0,"1"
"Hawaii","2020-04-27","129.94",1,0,0,"2"
"Hawaii","2020-04-28","129.94",1,0,0,"1"
"Hawaii","2020-04-29","129.94",1,0,0,"3"
"Hawaii","2020-04-30","129.94",1,0,0,NA
"Hawaii","2020-05-01","129.94",1,0,0,"1"
"Hawaii","2020-05-02","129.94",1,0,0,"1"
"Hawaii","2020-05-03","129.94",1,0,0,"1"
"Hawaii","2020-05-04","129.94",1,0,0,NA
"Hawaii","2020-05-05","129.94",1,0,0,"1"
"Hawaii","2020-05-06","129.94",1,0,0,"2"
"Hawaii","2020-05-07","129.94",1,0,0,"4"
"Hawaii","2020-05-08","129.94",1,0,0,"-5"
"Hawaii","2020-05-09","129.94",1,0,0,"1"
"Hawaii","2020-05-10","129.94",1,0,0,NA
"Hawaii","2020-05-11","129.94",1,0,0,NA
"Hawaii","2020-05-12","129.94",1,0,0,NA
"Hawaii","2020-05-13","129.94",1,0,0,"1"
"Hawaii","2020-05-14","129.94",1,0,0,"3"
"Hawaii","2020-05-15","129.94",1,0,0,"2"
"Hawaii","2020-05-16","129.94",1,0,0,"2"
"Hawaii","2020-05-17","129.94",1,0,0,"1"
"Hawaii","2020-05-18","129.94",1,0,0,NA
"Hawaii","2020-05-19","129.94",1,0,0,"1"
"Hawaii","2020-05-20","129.94",1,0,0,NA
"Hawaii","2020-05-21","129.94",1,0,0,"1"
"Hawaii","2020-05-22","129.94",1,0,0,"9"
"Hawaii","2020-05-23","129.94",1,0,0,"8"
"Hawaii","2020-05-24","129.94",1,0,0,"2"
"Hawaii","2020-05-25","129.94",1,0,1,"1"
"Hawaii","2020-05-26","129.94",1,0,0,"6"
"Hawaii","2020-05-27","129.94",1,0,0,"3"
"Hawaii","2020-05-28","129.94",1,0,0,"7"
"Hawaii","2020-05-29","129.94",1,0,0,"14"
"Hawaii","2020-05-30","129.94",1,0,0,"17"
"Hawaii","2020-05-31","129.94",1,0,0,"5"
"Hawaii","2020-06-01","129.94",0,0,0,"8"
"Hawaii","2020-06-02","129.94",0,0,0,"4"
"Hawaii","2020-06-03","129.94",0,0,0,"4"
"Hawaii","2020-06-04","129.94",0,0,0,"18"
"Hawaii","2020-06-05","129.94",0,0,0,"27"
"Hawaii","2020-06-06","129.94",0,0,0,"14"
"Hawaii","2020-06-07","129.94",0,0,0,"11"
"Hawaii","2020-06-08","129.94",0,0,0,"2"
"Hawaii","2020-06-09","129.94",0,0,0,"3"
"Hawaii","2020-06-10","129.94",0,0,0,"14"
"Hawaii","2020-06-11","129.94",0,0,0,"15"
"Hawaii","2020-06-12","129.94",0,0,0,"14"
"Hawaii","2020-06-13","129.94",0,0,0,"6"
"Hawaii","2020-06-14","129.94",0,0,0,"27"
"Hawaii","2020-06-15","129.94",0,0,0,"1"
"Hawaii","2020-06-16","129.94",0,0,0,"17"
"Hawaii","2020-06-17","129.94",0,0,0,"8"
"Hawaii","2020-06-18","129.94",0,0,0,"20"
"Hawaii","2020-06-19","129.94",0,0,0,"28"
"Hawaii","2020-06-20","129.94",0,0,0,"24"
"Hawaii","2020-06-21","129.94",0,0,0,"24"
"Hawaii","2020-06-22","129.94",0,0,0,"7"
"Hawaii","2020-06-23","129.94",0,0,0,"41"
"Hawaii","2020-06-24","129.94",0,0,0,"23"
"Hawaii","2020-06-25","129.94",0,0,0,"36"
"Hawaii","2020-06-26","129.94",0,0,0,"27"
"Hawaii","2020-06-27","129.94",0,0,0,"42"
"Hawaii","2020-06-28","129.94",0,0,0,"20"
"Hawaii","2020-06-29","129.94",0,0,0,"21"
"Hawaii","2020-06-30","129.94",0,0,0,"21"
"Hawaii","2020-07-01","129.94",0,0,0,"28"
"Hawaii","2020-07-02","129.94",0,0,0,"19"
"Hawaii","2020-07-03","129.94",0,0,0,"22"
"Hawaii","2020-07-04","129.94",0,0,1,"20"
"Hawaii","2020-07-05","129.94",0,0,0,"27"
"Hawaii","2020-07-06","129.94",0,0,0,"12"
"Hawaii","2020-07-07","129.94",0,0,0,"25"
"Hawaii","2020-07-08","129.94",0,0,0,"17"
"Hawaii","2020-07-09","129.94",0,0,0,"55"
"Hawaii","2020-07-10","129.94",0,0,0,"58"
"Hawaii","2020-07-11","129.94",0,0,0,"71"
"Hawaii","2020-07-12","129.94",0,0,0,"63"
"Hawaii","2020-07-13","129.94",0,0,0,"28"
"Hawaii","2020-07-14","129.94",0,0,0,"46"
"Hawaii","2020-07-15","129.94",0,0,0,"108"
"Hawaii","2020-07-16","129.94",0,0,0,"124"
"Hawaii","2020-07-17","129.94",0,0,0,"122"
"Hawaii","2020-07-18","129.94",0,0,0,"86"
"Hawaii","2020-07-19","129.94",0,0,0,"45"
"Hawaii","2020-07-20","129.94",0,0,0,"206"
"Hawaii","2020-07-21","129.94",0,0,0,"143"
"Hawaii","2020-07-22","129.94",0,0,0,"172"
"Hawaii","2020-07-23","129.94",0,0,0,"151"
"Hawaii","2020-07-24","129.94",0,0,0,"201"
"Hawaii","2020-07-25","129.94",0,0,0,"231"
"Hawaii","2020-07-26","129.94",0,0,0,"152"
"Hawaii","2020-07-27","129.94",0,0,0,"140"
"Hawaii","2020-07-28","129.94",0,0,0,"118"
"Hawaii","2020-07-29","129.94",0,0,0,"202"
"Hawaii","2020-07-30","129.94",0,0,0,"354"
"Hawaii","2020-07-31","129.94",0,0,0,"231"
"Hawaii","2020-08-01","129.94",0,0,0,"282"
"Hawaii","2020-08-02","129.94",0,0,0,"217"
"Hawaii","2020-08-03","129.94",0,0,0,"173"
"Hawaii","2020-08-04","129.94",0,0,0,"134"
"Hawaii","2020-08-05","129.94",0,0,0,"260"
"Hawaii","2020-08-06","129.94",0,0,0,"235"
"Hawaii","2020-08-07","129.94",0,0,0,"228"
"Hawaii","2020-08-08","129.94",0,0,0,"284"
"Hawaii","2020-08-09","129.94",0,0,0,"244"
"Hawaii","2020-08-10","129.94",0,0,0,"169"
"Hawaii","2020-08-11","129.94",0,0,0,"215"
"Hawaii","2020-08-12","129.94",0,0,0,"275"
"Hawaii","2020-08-13","129.94",0,0,0,"306"
"Hawaii","2020-08-14","129.94",0,0,0,"264"
"Hawaii","2020-08-15","129.94",0,0,0,"309"
"Hawaii","2020-08-16","129.94",0,0,0,"200"
"Hawaii","2020-08-17","129.94",0,0,0,"132"
"Hawaii","2020-08-18","129.94",0,0,0,"181"
"Hawaii","2020-08-19","129.94",0,0,0,"338"
"Hawaii","2020-08-20","129.94",0,0,0,"211"
"Hawaii","2020-08-21","129.94",0,0,0,"271"
"Hawaii","2020-08-22","129.94",0,0,0,"219"
